,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive
,all up,break,first half,indy,inside,kickoff,kor,otb,pap,pat/fg,post-practice,pre,punt,punt return,run session,run session-blitz,scrimmage,second half,skell vs. def scouts,team situation,team vs. def scouts,1on1,1on2,pass rush,team vs. scouts,all up,break,end,first half,goal line,indy,inside,line games,mix session,otb,pass rush,pat/fg,perimeter period,post-practice,pre,punt,punt return,run fit,run pursuit,run session,scrimmage,second half,specific def scheme,team situation,team vs. off scouts,1on1,kickoff,kor,red zone skell vs. scouts,skell vs. off scouts
name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bye #1,2.0,,,8.0,,,,12.0,,5.0,,10.0,,,,,,,12.0,,28.0,,,12.0,,2.0,,,,,20.0,,,,,12.0,5.0,,,10.0,,,,,,,,,,28.0,,,,,12.0
Conneticut #1,2.0,5.0,,20.0,,,,12.0,,5.0,8.0,10.0,8.0,,,15.0,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,,,12.0,5.0,,8.0,20.0,8.0,,,,15.0,,,,8.0,20.0,,,,,24.0
Conneticut #2,2.0,5.0,,20.0,,8.0,,12.0,8.0,5.0,8.0,10.0,,,,15.0,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,15.0,,12.0,5.0,,,20.0,,,,,8.0,,,,8.0,20.0,,8.0,,,24.0
Conneticut #3,2.0,,,40.0,,10.0,10.0,,,5.0,,10.0,10.0,10.0,,,,,,,55.0,,,,,2.0,,,,,52.0,,,,,,5.0,,,20.0,10.0,10.0,,,,,,,,43.0,,10.0,10.0,6.0,6.0
Conneticut Game,,10.0,85.0,,,,,,,,,60.0,,,,,,100.0,,,,,,,,,10.0,,85.0,,,,,,,,,,,60.0,,,,,,,100.0,,,,,,,,
Houston #1,2.0,5.0,,20.0,,,,12.0,,5.0,8.0,10.0,8.0,,,15.0,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,,,12.0,5.0,,8.0,20.0,8.0,,,,15.0,,,,8.0,20.0,,,,,24.0
Houston #2,2.0,5.0,,20.0,,8.0,,12.0,8.0,5.0,8.0,10.0,,,,15.0,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,,,12.0,5.0,,,20.0,,,,,15.0,,,8.0,8.0,20.0,,8.0,,,24.0
Houston #3,2.0,,,40.0,,10.0,10.0,,,5.0,,10.0,10.0,10.0,,,,,,,55.0,,,,,2.0,,2.0,,,52.0,,,,,,5.0,,,20.0,10.0,10.0,,,,,,,,43.0,,10.0,10.0,6.0,6.0
Houston Game,,15.0,95.0,,,,,,,,,60.0,,,,,,95.0,,,,,,,,,15.0,,95.0,,,,,,,,,,,60.0,,,,,,,95.0,,,,,,,,
Louisiana #1,2.0,5.0,,20.0,,,,12.0,,5.0,8.0,10.0,8.0,,,15.0,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,,,12.0,5.0,,8.0,20.0,8.0,,,,15.0,,,,8.0,20.0,,,,,24.0
Louisiana #2,2.0,5.0,,20.0,,8.0,,12.0,8.0,5.0,8.0,10.0,,,,15.0,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,15.0,,12.0,5.0,,8.0,20.0,,,,,8.0,,,,8.0,20.0,,,8.0,,24.0
Louisiana #3,2.0,,,40.0,,10.0,10.0,,,5.0,,10.0,10.0,10.0,,,,,,,55.0,,,,,2.0,,,,,52.0,,,,,,5.0,,,20.0,10.0,10.0,,,,,,,,43.0,,10.0,10.0,6.0,6.0
Louisiana Game,,15.0,110.0,,,,,,,,,60.0,,,,,,95.0,,,,,,,,,15.0,,110.0,,,,,,,,,,,60.0,,,,,,,95.0,,,,,,,,
Memphis #1,2.0,,,10.0,,,,12.0,,5.0,8.0,10.0,10.0,8.0,,15.0,,,10.0,8.0,33.0,,,10.0,,2.0,,,,,22.0,13.0,,,,10.0,5.0,,8.0,10.0,10.0,8.0,,,15.0,,,,8.0,20.0,13.0,,,,10.0
Memphis #2,2.0,,,20.0,,10.0,10.0,10.0,,5.0,,10.0,,,,,,,,,55.0,,,,,2.0,,,,,22.0,,,,,,5.0,,8.0,10.0,,,10.0,,,,,,,53.0,,10.0,10.0,,12.0
Memphis Game,,10.0,95.0,,,,,,,,,60.0,,,,,,95.0,,,,,,,,,10.0,,95.0,,,,,,,,,,,60.0,,,,,,,95.0,,,,,,,,
Navy #1,2.0,5.0,,20.0,,,,12.0,8.0,5.0,8.0,10.0,8.0,,,15.0,,,24.0,,20.0,,,12.0,,2.0,5.0,,,,18.0,10.0,,,,10.0,5.0,10.0,8.0,20.0,8.0,,12.0,,,,,,,20.0,,,,,20.0
Navy #2,2.0,5.0,,20.0,,8.0,,12.0,8.0,5.0,8.0,10.0,,,,15.0,,,24.0,,20.0,,,12.0,,2.0,5.0,,,,32.0,,,,,12.0,5.0,,8.0,20.0,,,8.0,,15.0,,,,,20.0,,8.0,,,24.0
Navy #3,2.0,,,40.0,,10.0,10.0,,,5.0,,10.0,10.0,10.0,,,,,,,55.0,,,,,2.0,,,,,52.0,,,,,,5.0,,,20.0,10.0,10.0,,,,,,,,43.0,,10.0,10.0,6.0,6.0
Navy Game,,5.0,95.0,,,,,,,,,60.0,,,,,,105.0,,,,,,,,,5.0,,95.0,,,,,,,,,,,60.0,,,,,,,105.0,,,,,,,,
New Mexico #1,2.0,5.0,,20.0,,,,12.0,8.0,5.0,8.0,10.0,8.0,,,15.0,,,24.0,,20.0,,,12.0,,2.0,5.0,,,,32.0,,,,,12.0,5.0,,8.0,20.0,8.0,,8.0,,15.0,,,,,20.0,,,,,24.0
New Mexico #2,2.0,5.0,,20.0,,8.0,,12.0,8.0,5.0,8.0,10.0,,,,15.0,,,24.0,,20.0,,,12.0,,2.0,5.0,,,,32.0,,,,,12.0,5.0,,8.0,20.0,,,8.0,,15.0,,,,,20.0,,8.0,,,24.0
New Mexico #3,2.0,,,40.0,,10.0,10.0,,,5.0,,10.0,10.0,10.0,,,,,,,55.0,,,,,2.0,,,,,52.0,,,,,,5.0,,,20.0,10.0,10.0,,,,,,,,43.0,,10.0,10.0,6.0,6.0
New Mexico Game,,15.0,95.0,,,,,,,,,60.0,,,,,,80.0,,,,,,,,,15.0,,95.0,,,,,,,,,,,60.0,,,,,,,80.0,,,,,,,,
Oklahoma State #1,2.0,5.0,,20.0,,,,12.0,,5.0,8.0,8.0,8.0,,15.0,,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,,,15.0,5.0,,8.0,8.0,8.0,,,,15.0,,,,8.0,20.0,,,,,27.0
Oklahoma State #2,2.0,5.0,,20.0,,,8.0,12.0,,5.0,8.0,8.0,,,,15.0,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,,,12.0,5.0,,8.0,18.0,,,,,15.0,,,,8.0,20.0,,,8.0,,24.0
Oklahoma State #3,2.0,5.0,,20.0,,,,12.0,8.0,5.0,8.0,8.0,8.0,,15.0,,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,,,12.0,5.0,,8.0,18.0,8.0,,,,23.0,,,,8.0,20.0,,,,,24.0
Oklahoma State #5,2.0,5.0,,20.0,,,,12.0,,5.0,8.0,8.0,8.0,,,15.0,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,,,12.0,5.0,,8.0,18.0,,,,,15.0,,,,8.0,20.0,,,8.0,,24.0
Oklahoma State #6,2.0,5.0,,20.0,,,8.0,12.0,8.0,5.0,8.0,8.0,,,15.0,,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,,,12.0,5.0,,8.0,18.0,,,,,23.0,,,,8.0,20.0,,,8.0,,24.0
Oklahoma State #7,2.0,,,20.0,,10.0,,,,5.0,,10.0,10.0,,,,,,,,55.0,,,,,2.0,,,,,32.0,,,,,,5.0,,,10.0,10.0,,,,,,,,,43.0,,10.0,,6.0,6.0
Oklahoma State Game,,5.0,110.0,,,,,,,,,60.0,,,,,,100.0,,,,,,,,,5.0,,110.0,,,,,,,,,,,60.0,,,,,,,100.0,,,,,,,,
Oklahoma State Scrim,,10.0,,8.0,,,,,,,,10.0,8.0,,,,60.0,,,,,,,,,,10.0,,,,8.0,,,,,,,,,10.0,8.0,,,,,60.0,,,,,,,,,
S Florida #1,2.0,5.0,,20.0,,,,12.0,,5.0,8.0,10.0,8.0,,,15.0,,,24.0,8.0,20.0,,,12.0,20.0,2.0,5.0,,,,32.0,,,,,12.0,5.0,,,10.0,8.0,,,,15.0,,,,8.0,20.0,,,,,24.0
S Florida #2,2.0,5.0,,12.0,,,,12.0,,5.0,,10.0,,,,15.0,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,24.0,,,,,12.0,5.0,,,10.0,,,,,15.0,,,,8.0,20.0,,,,,24.0
S Florida #3,2.0,,,20.0,,10.0,10.0,,,5.0,,10.0,,,,,,,,,55.0,,,,,2.0,,,,,52.0,,,,,,5.0,,,10.0,10.0,10.0,,,,,,,,43.0,,10.0,10.0,,12.0
S Florida #4,2.0,,,40.0,,10.0,10.0,,,5.0,,10.0,10.0,10.0,,,,,,,55.0,,,,,2.0,,,,,52.0,,,,,,5.0,,,10.0,10.0,10.0,,,,,,,,43.0,,10.0,10.0,,12.0
S Florida Game,,15.0,90.0,,,,,,,,,60.0,,,,,,95.0,,,,,,,,,15.0,,90.0,,,,,,,,,,,60.0,,,,,,,95.0,,,,,,,,
S Methodist #1,2.0,,,10.0,,,,12.0,,5.0,8.0,10.0,10.0,8.0,,15.0,,,10.0,8.0,33.0,,,10.0,,2.0,,,,,22.0,13.0,,,,10.0,5.0,,8.0,20.0,10.0,8.0,,,15.0,,,,8.0,20.0,13.0,,,,10.0
S Methodist #2,2.0,,,20.0,,10.0,10.0,10.0,,5.0,,10.0,,,,,,,,,55.0,,,,,2.0,,,,10.0,32.0,,,,,,5.0,,,10.0,,,,,,,,,,43.0,,10.0,10.0,,12.0
S Methodist Game,,5.0,105.0,,,,,,,,,60.0,,,,,,110.0,,,,,,,,,5.0,,105.0,,,,,,,,,,,60.0,,,,,,,110.0,,,,,,,,
Temple #1,2.0,5.0,,20.0,,,,12.0,,5.0,8.0,10.0,8.0,,,15.0,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,,,12.0,5.0,,8.0,20.0,8.0,,,,15.0,,,,8.0,20.0,,,,,24.0
Temple #2,2.0,5.0,,20.0,,8.0,,12.0,8.0,5.0,8.0,10.0,,,,15.0,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,15.0,,12.0,5.0,,,20.0,,,,,8.0,,,,8.0,20.0,,8.0,,,24.0
Temple #3,2.0,,,40.0,,10.0,10.0,,,5.0,,10.0,10.0,10.0,,,,,,,55.0,,,,,2.0,,,,,52.0,,,,,,5.0,,,20.0,10.0,10.0,,,,,,,,43.0,,10.0,10.0,6.0,6.0
Temple Game,,10.0,105.0,,,,,,,,,60.0,,,,,,180.0,,,,,,,,,10.0,,105.0,,,,,,,,,,,60.0,,,,,,,180.0,,,,,,,,
Toledo #1,2.0,5.0,,20.0,,,,12.0,,5.0,8.0,10.0,8.0,,,15.0,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,,,12.0,5.0,,8.0,20.0,8.0,,,,15.0,,,,8.0,20.0,,,,,24.0
Toledo #2,2.0,5.0,,20.0,,8.0,,12.0,8.0,5.0,8.0,10.0,,,,15.0,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,15.0,,12.0,5.0,,8.0,20.0,,,,,8.0,,,,8.0,20.0,,,8.0,,24.0
Toledo #3,2.0,,,40.0,,10.0,10.0,,,5.0,,30.0,10.0,10.0,,,,,,,55.0,,,,,2.0,,,,,52.0,,,,,,5.0,,,30.0,10.0,10.0,,,,,,,,43.0,,10.0,10.0,6.0,6.0
Toledo Game,,15.0,100.0,,,,,,,,,60.0,,,,,,110.0,,,,,,,,,15.0,,100.0,,,,,,,,,,,60.0,,,,,,,110.0,,,,,,,,
Tulane #1,2.0,5.0,,20.0,,,,12.0,,5.0,8.0,10.0,8.0,,,15.0,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,,,12.0,5.0,,8.0,20.0,8.0,,,,15.0,,,,8.0,20.0,,,,,24.0
Tulane #2,2.0,,,40.0,,10.0,10.0,,,5.0,,10.0,10.0,10.0,,,,,,,55.0,,,,,2.0,,2.0,,,52.0,,,,,,5.0,,,20.0,10.0,10.0,,,,,,,,43.0,,10.0,10.0,6.0,6.0
Tulane Game,,5.0,100.0,,,,,,,,,60.0,,,,,,80.0,,,,,,,,,5.0,,100.0,,,,,,,,,,,60.0,,,,,,,80.0,,,,,,,,
fall camp practice #1,5.0,5.0,,10.0,,,,15.0,,5.0,10.0,10.0,,,,,,,22.0,,28.0,,,,,5.0,5.0,,,,37.0,,,,,10.0,5.0,,10.0,20.0,,,,,,,,10.0,,28.0,,,,,22.0
fall camp practice #10,2.0,5.0,,10.0,10.0,,,12.0,,5.0,10.0,10.0,,,,,,,24.0,10.0,28.0,10.0,,,,2.0,5.0,,,,34.0,10.0,,,,12.0,5.0,,10.0,20.0,,,,,,,,,10.0,28.0,10.0,,,,24.0
fall camp practice #11,2.0,5.0,,10.0,10.0,,,12.0,,5.0,10.0,10.0,,,,,,,24.0,10.0,28.0,10.0,,,,2.0,5.0,,,,34.0,10.0,,,,12.0,5.0,,10.0,20.0,,,,,,,,12.0,20.0,28.0,10.0,,,,24.0
fall camp practice #12,2.0,5.0,,10.0,10.0,,,12.0,,5.0,10.0,10.0,,,,,,,24.0,10.0,28.0,10.0,10.0,,,2.0,5.0,,,,34.0,10.0,,,,12.0,5.0,,10.0,20.0,,,,,,,,,10.0,28.0,10.0,,,,24.0
fall camp practice #13,2.0,5.0,,10.0,10.0,,,12.0,,5.0,10.0,10.0,,,,,,,24.0,10.0,28.0,10.0,10.0,,,2.0,5.0,,,,34.0,10.0,,,,12.0,5.0,,10.0,20.0,,,,,,,,10.0,10.0,28.0,10.0,,,,24.0
fall camp practice #14,2.0,5.0,,10.0,10.0,,,12.0,,5.0,10.0,10.0,,,,,,,24.0,10.0,28.0,10.0,10.0,,,2.0,5.0,,,,34.0,10.0,,,,12.0,5.0,,10.0,20.0,,,,,,,,8.0,10.0,28.0,10.0,,,,24.0
fall camp practice #17,5.0,,,,,15.0,15.0,,,,,,15.0,15.0,,,,,,,,,,,,2.0,,,,,60.0,,,,,,,,,10.0,15.0,15.0,,,,,,,,,,15.0,15.0,,
fall camp practice #2,2.0,5.0,,10.0,,,,15.0,,5.0,10.0,10.0,,,,,,,22.0,,28.0,,,,,5.0,5.0,,,,37.0,,,,,10.0,5.0,,10.0,20.0,,,,,,,,10.0,,28.0,,,,,22.0
fall camp practice #3,2.0,5.0,,10.0,10.0,,,12.0,,5.0,10.0,10.0,,,,,,,24.0,10.0,28.0,10.0,,,,2.0,5.0,,,,24.0,10.0,,,,12.0,5.0,,10.0,20.0,,,,10.0,,,,,10.0,28.0,10.0,,,,24.0
fall camp practice #4,2.0,5.0,,10.0,10.0,,,12.0,,5.0,10.0,10.0,,,,,,,24.0,10.0,28.0,10.0,,,,2.0,5.0,,,,22.0,10.0,12.0,,,12.0,5.0,,10.0,20.0,,,,,,,,10.0,10.0,28.0,10.0,,,,24.0
fall camp practice #5,2.0,5.0,,10.0,10.0,,,12.0,,5.0,10.0,10.0,,,,,,,24.0,10.0,28.0,10.0,,,,2.0,5.0,,,,22.0,10.0,12.0,,,12.0,5.0,,10.0,20.0,,,,,,,,,10.0,28.0,10.0,,,,24.0
fall camp practice #6,2.0,5.0,,10.0,10.0,,,12.0,,5.0,10.0,10.0,,,,,,,24.0,10.0,28.0,10.0,,,,2.0,5.0,,,,22.0,10.0,12.0,,,12.0,5.0,,10.0,20.0,,,,,,,,,10.0,28.0,10.0,,,,24.0
fall camp practice #7,2.0,5.0,,10.0,10.0,,,12.0,,5.0,10.0,10.0,,,,,,,24.0,10.0,28.0,10.0,,,,2.0,5.0,,,,22.0,10.0,12.0,,,12.0,5.0,,10.0,20.0,,,,,,,,10.0,10.0,28.0,10.0,,,,24.0
fall camp practice #8,2.0,5.0,,10.0,10.0,,,12.0,,5.0,10.0,10.0,,,,,,,24.0,10.0,28.0,10.0,,,,2.0,5.0,,,,12.0,10.0,12.0,,,12.0,5.0,,10.0,20.0,,,,10.0,,,,,10.0,28.0,10.0,,,,24.0
fall camp scrimmage #1,2.0,5.0,,8.0,,,,10.0,,5.0,,10.0,,,,,120.0,,,,,,,,,2.0,5.0,,,,18.0,,,,,,5.0,,,10.0,,,,,,120.0,,,,,,,,,
fall camp scrimmage #2,2.0,5.0,,6.0,,,,10.0,,5.0,,,,,,,95.0,,,,,,,,,2.0,5.0,,,,6.0,,,,10.0,,5.0,,,20.0,,,,,,95.0,,,,,,,,,
