,date,Number,sum 2,sum 3,sum 4,sum 5,ptype,in_event
178,2017-11-23 10:25:00,6,0,0,0,0,defensive,False
216,2017-11-23 08:15:00,9,1,0,0,0,offensive,False
217,2017-11-22 16:15:00,19,0,0,0,0,offensive,False
218,2017-11-22 16:05:00,1,0,0,0,0,defensive,False
270,2017-11-22 13:55:00,19,0,0,0,0,offensive,False
271,2017-11-22 13:50:00,3,0,1,0,0,defensive,False
272,2017-11-21 16:45:00,7,0,1,0,0,defensive,False
273,2017-11-21 16:40:00,7,1,0,0,0,defensive,False
274,2017-11-21 16:35:00,7,0,0,0,0,defensive,False
332,2017-11-21 14:30:00,19,1,0,0,0,offensive,False
333,2017-11-21 14:20:00,14,0,0,0,0,offensive,False
334,2017-11-21 14:20:00,8,0,0,0,0,defensive,False
569,2017-11-07 15:55:00,1,0,0,0,0,defensive,False
904,2017-10-25 17:50:00,4,0,0,0,0,defensive,False
905,2017-10-25 17:20:00,16,0,0,0,0,offensive,False
964,2017-10-25 15:30:00,9,0,0,0,0,offensive,False
965,2017-10-25 15:30:00,3,2,0,0,0,defensive,False
966,2017-10-24 17:50:00,1,0,0,0,0,defensive,False
967,2017-10-24 17:40:00,15,0,0,0,0,offensive,False
968,2017-10-24 17:40:00,6,0,0,0,0,defensive,False
969,2017-10-24 17:40:00,4,0,0,0,0,defensive,False
1055,2017-10-24 15:30:00,19,0,0,0,0,offensive,False
1252,2017-10-17 17:35:00,17,0,0,0,0,offensive,False
1446,2017-10-11 17:35:00,8,0,0,0,0,defensive,False
1634,2017-10-04 16:55:00,1,0,0,0,0,defensive,False
1635,2017-10-04 16:40:00,8,0,1,0,0,defensive,False
1636,2017-10-04 16:40:00,1,1,0,0,0,defensive,False
1637,2017-10-04 16:35:00,8,0,1,0,0,defensive,False
1638,2017-10-04 16:35:00,20,0,0,0,0,offensive,False
1639,2017-10-04 16:35:00,5,0,0,0,0,defensive,False
1640,2017-10-04 16:35:00,19,1,3,0,0,offensive,False
1641,2017-10-04 16:30:00,8,0,0,0,0,defensive,False
1642,2017-10-04 16:30:00,19,2,0,0,1,offensive,False
1643,2017-10-04 16:30:00,2,0,0,0,0,defensive,False
1644,2017-10-04 16:25:00,19,1,1,0,0,offensive,False
1645,2017-10-04 16:20:00,4,1,0,0,0,defensive,False
1646,2017-10-04 16:20:00,19,1,0,0,0,offensive,False
1647,2017-10-04 16:15:00,19,1,0,0,0,offensive,False
1648,2017-10-04 16:15:00,4,1,0,0,0,defensive,False
1649,2017-10-04 16:15:00,8,0,0,1,0,defensive,False
1650,2017-10-04 16:10:00,8,0,1,1,0,defensive,False
1651,2017-10-04 16:10:00,19,4,0,0,0,offensive,False
1652,2017-10-04 16:10:00,4,1,0,0,0,defensive,False
1653,2017-10-04 16:05:00,19,0,0,1,0,offensive,False
1654,2017-10-04 16:05:00,5,0,0,0,0,defensive,False
1655,2017-10-04 15:25:00,19,1,1,0,0,offensive,False
1656,2017-10-04 15:25:00,20,0,0,0,0,offensive,False
1872,2017-09-28 15:30:00,9,0,0,0,0,offensive,False
2330,2017-09-14 17:35:00,13,0,0,0,0,offensive,False
2331,2017-09-14 17:35:00,8,0,0,0,0,defensive,False
2332,2017-09-14 17:35:00,6,0,0,0,0,defensive,False
2333,2017-09-14 17:35:00,19,0,0,0,0,offensive,False
2334,2017-09-14 17:35:00,15,0,0,0,0,offensive,False
2335,2017-09-14 17:35:00,7,0,0,0,0,defensive,False
2336,2017-09-14 17:35:00,9,1,0,0,0,offensive,False
2337,2017-09-14 17:35:00,10,1,0,0,0,offensive,False
2338,2017-09-14 17:30:00,6,0,0,0,0,defensive,False
2339,2017-09-14 17:30:00,7,0,0,0,0,defensive,False
2340,2017-09-14 17:30:00,15,0,0,0,0,offensive,False
2574,2017-09-12 15:20:00,4,0,0,0,0,defensive,False
2787,2017-09-07 17:35:00,2,0,0,0,0,defensive,False
2788,2017-09-07 17:30:00,8,0,0,0,0,defensive,False
2789,2017-09-07 17:30:00,13,1,0,0,0,offensive,False
2790,2017-09-07 17:30:00,11,0,0,0,0,offensive,False
2791,2017-09-07 17:30:00,9,1,0,0,0,offensive,False
2792,2017-09-07 17:30:00,7,0,0,0,0,defensive,False
2793,2017-09-07 17:30:00,10,1,0,0,0,offensive,False
2857,2017-09-07 14:50:00,6,0,0,0,0,defensive,False
2952,2017-09-06 15:30:00,20,1,0,0,0,offensive,False
3266,2017-08-29 17:45:00,4,0,0,0,0,defensive,False
3267,2017-08-29 17:25:00,13,0,0,0,0,offensive,False
3268,2017-08-29 17:25:00,2,1,0,0,0,defensive,False
3269,2017-08-29 17:20:00,2,0,1,0,0,defensive,False
3270,2017-08-29 17:20:00,20,1,0,0,0,offensive,False
3271,2017-08-29 17:20:00,7,1,0,0,0,defensive,False
3272,2017-08-29 17:20:00,3,0,0,0,0,defensive,False
3273,2017-08-29 17:20:00,9,1,0,0,0,offensive,False
3274,2017-08-29 17:20:00,18,0,0,0,0,defensive,False
3275,2017-08-29 17:20:00,10,1,0,0,0,offensive,False
3276,2017-08-29 17:20:00,16,0,0,0,0,offensive,False
3277,2017-08-29 17:20:00,13,2,0,0,0,offensive,False
3278,2017-08-29 17:15:00,6,0,0,0,0,defensive,False
3279,2017-08-29 17:15:00,15,0,0,0,0,offensive,False
3280,2017-08-29 17:15:00,3,4,3,0,0,defensive,False
3281,2017-08-29 17:15:00,16,0,0,0,0,offensive,False
3282,2017-08-29 17:15:00,2,0,0,0,0,defensive,False
3283,2017-08-29 17:15:00,14,1,0,0,0,offensive,False
3284,2017-08-29 17:15:00,9,2,0,0,0,offensive,False
3285,2017-08-29 17:10:00,5,0,0,0,0,defensive,False
3286,2017-08-29 17:10:00,8,2,0,0,0,defensive,False
3287,2017-08-29 17:10:00,18,1,0,0,0,defensive,False
3288,2017-08-29 17:10:00,16,0,1,0,0,offensive,False
3289,2017-08-29 17:10:00,3,0,0,0,0,defensive,False
3290,2017-08-29 17:10:00,17,1,1,0,0,offensive,False
3291,2017-08-29 17:10:00,2,0,0,0,0,defensive,False
3292,2017-08-29 17:10:00,20,0,1,0,0,offensive,False
3371,2017-08-29 15:30:00,5,0,0,0,0,defensive,False
3372,2017-08-29 15:30:00,13,0,0,0,0,offensive,False
3373,2017-08-29 15:30:00,12,2,1,0,0,defensive,False
3374,2017-08-29 15:30:00,9,0,0,0,0,offensive,False
3375,2017-08-29 15:25:00,9,0,0,0,0,offensive,False
3376,2017-08-29 15:25:00,10,0,0,0,0,offensive,False
3377,2017-08-29 15:25:00,12,1,1,0,0,defensive,False
3378,2017-08-29 15:25:00,6,0,0,0,0,defensive,False
3379,2017-08-29 15:20:00,4,0,0,0,0,defensive,False
3380,2017-08-29 15:15:00,10,0,0,0,0,offensive,False
3381,2017-08-29 15:10:00,9,0,1,0,0,offensive,False
3473,2017-08-24 17:30:00,2,0,0,0,0,defensive,False
3474,2017-08-24 17:25:00,9,0,0,0,0,offensive,False
3475,2017-08-24 17:20:00,10,0,0,0,0,offensive,False
3476,2017-08-24 17:15:00,10,0,0,0,0,offensive,False
3477,2017-08-24 17:15:00,3,0,1,0,0,defensive,False
3478,2017-08-24 17:10:00,2,0,0,0,0,defensive,False
3479,2017-08-24 17:05:00,5,0,0,0,0,defensive,False
3480,2017-08-24 17:00:00,10,0,0,0,0,offensive,False
3481,2017-08-24 16:55:00,10,0,0,0,0,offensive,False
3482,2017-08-24 16:55:00,9,0,0,0,0,offensive,False
3483,2017-08-24 16:50:00,15,1,0,0,0,offensive,False
3484,2017-08-24 16:50:00,13,0,0,0,0,offensive,False
3615,2017-08-20 13:55:00,3,0,1,0,0,defensive,False
3742,2017-08-17 11:45:00,19,0,1,0,0,offensive,False
3743,2017-08-17 11:40:00,19,0,1,0,0,offensive,False
3744,2017-08-17 11:40:00,3,1,0,0,0,defensive,False
3745,2017-08-17 11:35:00,3,0,1,0,0,defensive,False
3746,2017-08-17 11:35:00,19,1,0,0,0,offensive,False
3747,2017-08-17 11:25:00,10,0,0,0,0,offensive,False
3748,2017-08-17 11:20:00,12,1,0,0,0,defensive,False
3749,2017-08-17 11:20:00,9,0,0,0,0,offensive,False
3750,2017-08-17 11:20:00,14,0,0,0,0,offensive,False
3751,2017-08-17 11:20:00,15,0,0,0,0,offensive,False
3752,2017-08-17 11:20:00,19,1,0,0,0,offensive,False
3753,2017-08-17 11:20:00,4,1,0,0,0,defensive,False
3754,2017-08-17 11:15:00,9,1,0,0,0,offensive,False
3755,2017-08-17 11:15:00,3,0,1,0,0,defensive,False
3756,2017-08-17 11:15:00,11,0,0,0,0,offensive,False
3757,2017-08-17 11:15:00,8,1,1,0,0,defensive,False
3758,2017-08-17 11:15:00,10,1,0,0,0,offensive,False
3759,2017-08-17 11:15:00,15,0,0,0,0,offensive,False
3760,2017-08-17 11:15:00,17,1,1,0,0,offensive,False
3761,2017-08-17 11:10:00,4,2,0,0,0,defensive,False
3762,2017-08-17 11:10:00,10,0,0,0,0,offensive,False
3763,2017-08-17 11:10:00,9,1,0,0,0,offensive,False
3764,2017-08-17 11:10:00,15,1,0,0,0,offensive,False
3765,2017-08-17 11:10:00,19,1,1,0,0,offensive,False
3766,2017-08-17 11:05:00,19,0,0,0,0,offensive,False
3767,2017-08-17 11:05:00,10,1,0,0,0,offensive,False
3768,2017-08-17 11:05:00,20,0,0,0,0,offensive,False
3769,2017-08-17 11:05:00,15,0,0,0,0,offensive,False
3770,2017-08-17 11:05:00,11,1,0,0,0,offensive,False
3771,2017-08-17 11:00:00,2,1,0,0,0,defensive,False
3772,2017-08-17 11:00:00,10,0,0,0,0,offensive,False
3773,2017-08-17 11:00:00,12,0,0,0,0,defensive,False
3774,2017-08-17 11:00:00,19,0,0,0,0,offensive,False
3775,2017-08-17 10:55:00,9,0,0,0,0,offensive,False
3776,2017-08-17 10:55:00,10,0,0,0,0,offensive,False
3777,2017-08-17 10:50:00,15,1,0,0,0,offensive,False
3778,2017-08-17 10:50:00,19,1,0,0,0,offensive,False
3779,2017-08-17 10:40:00,19,0,0,0,0,offensive,False
3780,2017-08-17 10:35:00,9,0,0,0,0,offensive,False
3781,2017-08-17 10:35:00,15,0,1,0,0,offensive,False
3782,2017-08-17 10:35:00,12,1,0,0,0,defensive,False
3783,2017-08-17 10:35:00,8,0,0,0,0,defensive,False
3784,2017-08-17 10:35:00,4,1,0,0,0,defensive,False
3785,2017-08-17 10:35:00,11,0,1,0,0,offensive,False
3786,2017-08-17 10:35:00,17,0,0,1,0,offensive,False
3787,2017-08-17 10:30:00,17,0,0,0,0,offensive,False
3788,2017-08-17 10:25:00,5,1,0,0,0,defensive,False
3789,2017-08-17 10:20:00,10,0,0,0,0,offensive,False
3790,2017-08-17 10:20:00,2,1,0,0,0,defensive,False
3791,2017-08-17 10:20:00,8,0,0,0,0,defensive,False
3792,2017-08-17 10:20:00,19,1,0,1,0,offensive,False
3793,2017-08-17 10:20:00,5,0,0,0,0,defensive,False
3794,2017-08-17 10:15:00,9,1,0,0,0,offensive,False
3795,2017-08-17 10:15:00,20,1,0,0,0,offensive,False
3796,2017-08-17 10:15:00,16,0,0,0,0,offensive,False
3797,2017-08-17 10:15:00,14,0,0,0,0,offensive,False
3798,2017-08-17 10:15:00,10,1,0,0,0,offensive,False
3799,2017-08-17 10:15:00,17,0,0,0,0,offensive,False
3800,2017-08-17 10:15:00,8,3,1,0,0,defensive,False
3801,2017-08-17 10:15:00,3,0,1,1,0,defensive,False
3802,2017-08-17 10:15:00,19,1,0,1,0,offensive,False
3803,2017-08-17 10:15:00,15,0,0,0,0,offensive,False
3804,2017-08-17 10:10:00,15,2,0,0,0,offensive,False
3805,2017-08-17 10:00:00,18,0,0,0,0,defensive,False
3806,2017-08-17 10:00:00,3,2,0,0,0,defensive,False
3807,2017-08-17 09:55:00,17,2,0,0,0,offensive,False
3808,2017-08-17 09:55:00,20,0,0,0,0,offensive,False
3809,2017-08-17 09:55:00,19,1,0,0,0,offensive,False
3810,2017-08-17 09:50:00,17,1,0,0,0,offensive,False
3811,2017-08-17 09:50:00,20,1,0,0,0,offensive,False
3812,2017-08-17 09:50:00,10,0,0,0,0,offensive,False
3813,2017-08-17 09:50:00,19,4,0,0,0,offensive,False
3814,2017-08-17 09:50:00,3,1,0,0,0,defensive,False
3815,2017-08-17 09:40:00,15,1,0,0,0,offensive,False
3816,2017-08-17 09:40:00,19,2,2,0,0,offensive,False
3817,2017-08-16 11:45:00,19,0,0,1,0,offensive,False
3818,2017-08-16 11:40:00,3,1,1,0,0,defensive,False
3819,2017-08-16 11:40:00,19,1,0,0,0,offensive,False
3881,2017-08-14 11:55:00,19,1,1,0,0,offensive,False
4002,2017-08-12 12:20:00,2,0,0,0,0,defensive,False
4003,2017-08-12 12:15:00,3,1,1,0,0,defensive,False
4004,2017-08-12 12:15:00,2,0,0,0,0,defensive,False
4005,2017-08-12 12:05:00,19,0,0,0,0,offensive,False
4068,2017-08-11 16:15:00,10,1,1,0,0,offensive,False
4141,2017-08-11 14:00:00,19,0,0,0,0,offensive,False
4194,2017-08-08 11:40:00,19,3,0,0,0,offensive,False
4316,2017-08-06 13:50:00,19,0,0,0,0,offensive,False
4394,2017-08-04 11:40:00,17,1,0,0,0,offensive,False
4463,2017-08-03 11:45:00,3,0,0,0,0,defensive,False
4464,2017-08-03 11:40:00,3,1,0,0,0,defensive,False
4465,2017-08-03 11:40:00,19,2,0,0,0,offensive,False
4558,2017-08-02 11:45:00,3,0,1,0,0,defensive,False
4559,2017-08-02 11:40:00,3,2,0,0,0,defensive,False
